a,b,similarity
GitHub/degoogle_complete_guide.md,GitHub/degoogle_complete_guide.txt,1.0
GitHub/degoogle_prerequisites.md,GitHub/degoogle_prerequisites.txt,1.0
GitHub/Iphone Minimal Battery Kb.pdf,GitHub/iphone_minimal_battery_kb.md,0.968
GitHub/S24FEuad_exported_selection.txt,GitHub/uad_exported_selection - Copy.txt,1.0
GitHub/Windows11_Debloat_Checklist.docx,GitHub/Windows11_Debloat_Checklist.md,1.0
GitHub/Windows11_Debloat_Checklist.docx,GitHub/Windows11_Debloat_Checklist.txt,1.0
GitHub/Windows11_Debloat_Checklist.md,GitHub/Windows11_Debloat_Checklist.txt,1.0
